round,accuracy,compute_energy,communication_energy,total_energy,carbon_emissions
1,0.1,0.16879999999999995,5.5872899999999985,5.7560899999999995,0.0005399301396206255
2,0.2462,0.21759999999999996,7.139314999999999,7.356915000000001,0.000686763870325221
3,0.3351,0.1368,4.6560749999999995,4.792875,0.0006291084036637381
4,0.38,0.17279999999999995,5.5872899999999985,5.76009,0.0004451401260094025
5,0.403,0.12079999999999999,4.035264999999999,4.156065,0.00036097345627880613
6,0.4097,0.1608,5.276885,5.437685,0.0007893397668290341
7,0.4127,0.1464,4.6560749999999995,4.802475,0.0004137757977430652
8,0.4103,0.16879999999999998,5.587289999999999,5.75609,0.0008867085587006277
9,0.4519,0.17120000000000002,5.897695000000001,6.068895000000001,0.0004078144126660867
10,0.4579,0.19119999999999998,6.208100000000001,6.3993,0.000563299867738852
11,0.4484,0.17279999999999998,5.587289999999999,5.76009,0.0005239157544513634
12,0.4695,0.1592,5.276885,5.436085,0.00043273920141759464
13,0.4825,0.18880000000000002,6.2081,6.3969000000000005,0.000664275775651611
14,0.4959,0.15119999999999997,4.96648,5.11768,0.00040267973474282444
15,0.4951,0.1832,6.2081,6.391299999999999,0.0005618139344307484
16,0.5141,0.18719999999999998,6.208099999999999,6.395299999999999,0.0005452373553544621
17,0.4962,0.24639999999999998,8.07053,8.316930000000001,0.0004093347160154597
18,0.5089,0.21759999999999996,7.139315,7.356915000000001,0.0008936493145831223
19,0.5148,0.22559999999999997,7.44972,7.675320000000001,0.0010188053164600034
20,0.5357,0.12240000000000001,4.035265,4.157665,0.0003055773047079631
21,0.551,0.1808,5.897695,6.078495,0.0005411997183522305
22,0.5364,0.1544,4.96648,5.1208800000000005,0.00040633254936966177
23,0.5393,0.17679999999999998,5.897695,6.074495000000001,0.0005317375143885769
24,0.5695,0.1672,5.58729,5.7544900000000005,0.00033007163329892505
25,0.5483,0.1712,5.58729,5.75849,0.0004053738651954063
26,0.5731,0.09200000000000003,3.1040499999999995,3.1960499999999996,0.00021843777379538146
27,0.5575,0.1672,5.587289999999999,5.7544900000000005,0.0005391138839263547
28,0.5568,0.1912,6.2081,6.3993,0.0008490930828035295
29,0.5716,0.1264,4.345669999999999,4.4720699999999995,0.0004705754120905252
30,0.5888,0.22799999999999995,7.44972,7.677720000000001,0.0009465909217387023
31,0.5724,0.1688,5.58729,5.75609,0.0005468139320664339
32,0.5855,0.1992,6.518505,6.7177050000000005,0.0007650434977252811
